ACCOUNT NUMBER       CURRENT READING      PREVIOUS READING

938033               70801                2RRyT

197698               E75zO                45564

6934
JCS3FL               83566                66046
9EEL1z               78590                18942
278520               DW9CE                73878
205788               x72YI                51709
429998               0MnN0                50486
kv2SPD               96089                34486
pXh4m7               35615                11858
148766               84453                M1V1r
HPu7Dw               82689                70566
230605               96356                7LKX3
WAdiWv               95851                92368
233881               64258                SAlM4
579310               48960                QRlPM
366872               37294                hWHmF
HVlq2M               90165                24900
lkXtKN               72929                52805
451996                                    20
401840                                    87
mU6c

ZdpRWD               76292                41362

328463               99539                hBW9n
4050np                                    TG
6dN995                                    73
A2fwC7               70699                44441
818612               GqZ0C                26047
oTRQHR               89241                52479
654918               54043                S7RgU
990041               92987                2IuPd
142449               59380                xEk0l
613451               Y0iuy                65932
dZ97kL               60080                52889
285210               48085                j3V94
qaZRwM               67543                50168
rYwDiJ               96429                90921
Tn2ogE               99516                97589
6yF3IO               98433                98165
L0DcAp               98234                62504
U8OCTg               85760                43223
223872               74861                KDB49
752542               aOR97                45871
ykGeKg               84773                78791
270131               97279                qfWyZ
716643               90446                cnyAX
114906               gjY1k                91658
2dpSEd               88788                85928
8JE1uh               59122                43589
238149               55750                3ZD0X
330444               Qi2Pa                29802
653641               72930                fQhyk
Cas3TG               99160                69182
H8gbje               29749                16454
338226               Aba0x                76350
o4QgxZ               57992                37818
kwvIBE               93189                92141
901127               81436                CwvZt
207821               62672                Rgone
336462               mKC6r                33200
LgjpGt               99386                68655
suqHzd               78749                23156
yz3qGb               91951                61582
382782               99456                clcei
LmfBQS               56865                37874
533682               AH9Jc                54659
303132               23127                IOogg
Ulioht               75969                72806
403017               XF8Wa                26113
523398               MF6bP                11766
837320               33967                0VwHB
qZARi1               62544                52800
789960               8aiQK                35860
386006               90623                aNAUD
776661               I0Cci                58156
977639               64586                NJM5Y
707214               69372                0Mya8
ldOy9E               96625                74889
311119               CcEJU                74172
940157               90708                U2V6X
385384               IlC8D                85801
7xUfca               99209                48925
795762               82576                onyfW
R7upxh               68072                38721
110744               73685                bJ5u9
818767               kOjC3                75767
PbtwJQ               71420                69863
396430               97756                Q3MnG
96hAvl               93373                49547
837439               52789                2bQdY
161008               94459                lzZ9W
Tb9PIS               66244                15021
80DUWY               94277                62900
463582               41102                gLfOv
476406               94125                toyjc
hF0bYX               65277                38209
553223               CUz9A                86787
821060               CwOYj                91149
123567               58169                5z0O3
